destination,state,region,lat,lon,vibe,emotion_tags,landscape,best_season,activities,nearby_attractions,description
Barabati Fort,Odisha,East,20.5,86.25,historic majestic grand,historic majestic grand,Fort in Humid climate,Year-round,"Heritage walk, Photography, Exploring","Street Food Alleys, Historical Monuments, Traditional Bazaars","Barabati Fort is a renowned fort located in odisha (East). Experiencing a humid climate, it offers a historic majestic grand atmosphere. It is well-suited for a low budget and holds a popularity score of 2.752 out of 5."
Hirakud Dam,Odisha,East,21.4,83.88333,interesting scenic engaging,interesting scenic engaging,Dam in Humid climate,Year-round,"Sightseeing, Walking, Photography","Regional Art Gallery, Botanical Gardens, Historical Monuments","Hirakud Dam is a renowned dam located in odisha (East). Experiencing a humid climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.704 out of 5."
Chilika Lake,Odisha,East,20.9517,85.0985,interesting scenic engaging,interesting scenic engaging,Lake in Humid climate,Year-round,"Sightseeing, Walking, Photography","Botanical Gardens, Old City Quarters, Street Food Alleys","Chilika Lake is a renowned lake located in odisha (East). Experiencing a humid climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.38 out of 5."
Tara Tarini Temple,Odisha,East,20.9517,85.0985,spiritual calm devoted peaceful,spiritual calm devoted peaceful,Temple in Humid climate,Year-round,"Praying, Meditation, Sightseeing","Local Heritage Museum, Botanical Gardens, Street Food Alleys","Tara Tarini Temple is a renowned temple located in odisha (East). Experiencing a humid climate, it offers a spiritual calm devoted peaceful atmosphere. It is well-suited for a low budget and holds a popularity score of 2.764 out of 5."
Badaghagara Waterfall,Odisha,East,20.9517,85.0985,interesting scenic engaging,interesting scenic engaging,Waterfall in Humid climate,Year-round,"Sightseeing, Walking, Photography","City Central Park, Botanical Gardens, Historical Monuments","Badaghagara Waterfall is a renowned waterfall located in odisha (East). Experiencing a humid climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.5872 out of 5."
Chandipur Beach,Odisha,East,21.49266,86.93348,relaxing sunny tropical calm,relaxing sunny calm,Beach in Humid climate,Year-round,"Sightseeing, Walking, Photography","Street Food Alleys, Regional Art Gallery, Handicraft Markets","Chandipur Beach is a renowned beach located in odisha (East). Experiencing a humid climate, it offers a relaxing sunny tropical calm atmosphere. It is well-suited for a low budget and holds a popularity score of 2.5256 out of 5."
Sanaghagara Waterfall,Odisha,East,21.5,85.5,interesting scenic engaging,interesting scenic engaging,Waterfall in Humid climate,Year-round,"Sightseeing, Walking, Photography","Regional Art Gallery, Handicraft Markets, Local Heritage Museum","Sanaghagara Waterfall is a renowned waterfall located in odisha (East). Experiencing a humid climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.662 out of 5."
Marina Beach,Tamil Nadu,South,13.08784,80.27847,relaxing sunny tropical calm,relaxing sunny calm,Beach in Tropical climate,Year-round,"Sightseeing, Walking, Photography","Vivekananda Rock Memorial, Santhome Cathedral, Fort St. George","Marina Beach is a renowned beach located in tamil nadu (South). Experiencing a tropical climate, it offers a relaxing sunny tropical calm atmosphere. It is well-suited for a low budget and holds a popularity score of 2.38 out of 5."
Meenakshi Amman Temple,Tamil Nadu,South,9.89,78.03,spiritual calm devoted peaceful,spiritual calm devoted peaceful,Temple in Tropical climate,Year-round,"Praying, Meditation, Sightseeing","Elliot's Beach, Meenakshi Temple, Brihadeeswara Temple","Meenakshi Amman Temple is a renowned temple located in tamil nadu (South). Experiencing a tropical climate, it offers a spiritual calm devoted peaceful atmosphere. It is well-suited for a low budget and holds a popularity score of 3.08 out of 5."
Ramanathaswamy Temple,Tamil Nadu,South,9.2885,79.31271,spiritual calm devoted peaceful,spiritual calm devoted peaceful,Temple in Tropical climate,Year-round,"Praying, Meditation, Sightseeing","Shore Temple, Elliot's Beach, Brihadeeswara Temple","Ramanathaswamy Temple is a renowned temple located in tamil nadu (South). Experiencing a tropical climate, it offers a spiritual calm devoted peaceful atmosphere. It is well-suited for a low budget and holds a popularity score of 2.764 out of 5."
Vivekananda Rock Memorial,Tamil Nadu,South,8.32,77.34,interesting scenic engaging,interesting scenic engaging,Memorial in Tropical climate,Year-round,"Sightseeing, Walking, Photography","Coonoor Tea Gardens, Brihadeeswara Temple, Ooty Lake","Vivekananda Rock Memorial is a renowned memorial located in tamil nadu (South). Experiencing a tropical climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.948 out of 5."
Ooty Lake,Tamil Nadu,South,11.4134,76.69521,interesting scenic engaging,interesting scenic engaging,Lake in Tropical climate,Year-round,"Sightseeing, Walking, Photography","Marina Beach, Kapaleeshwarar Temple, Santhome Cathedral","Ooty Lake is a renowned lake located in tamil nadu (South). Experiencing a tropical climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.704 out of 5."
Marudamalai Temple,Tamil Nadu,South,10.8,77.09,spiritual calm devoted peaceful,spiritual calm devoted peaceful,Temple in Tropical climate,Year-round,"Praying, Meditation, Sightseeing","Elliot's Beach, Meenakshi Temple, Coonoor Tea Gardens","Marudamalai Temple is a renowned temple located in tamil nadu (South). Experiencing a tropical climate, it offers a spiritual calm devoted peaceful atmosphere. It is well-suited for a low budget and holds a popularity score of 2.94 out of 5."
Kodaikanal Lake,Tamil Nadu,South,10.23925,77.48932,interesting scenic engaging,interesting scenic engaging,Lake in Tropical climate,Year-round,"Sightseeing, Walking, Photography","Santhome Cathedral, Ooty Lake, Vivekananda Rock Memorial","Kodaikanal Lake is a renowned lake located in tamil nadu (South). Experiencing a tropical climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.38 out of 5."
Brihadeeswarar Temple,Tamil Nadu,South,10.64,79.22,spiritual calm devoted peaceful,spiritual calm devoted peaceful,Temple in Tropical climate,Year-round,"Praying, Meditation, Sightseeing","DakshinaChitra, Brihadeeswara Temple, Shore Temple","Brihadeeswarar Temple is a renowned temple located in tamil nadu (South). Experiencing a tropical climate, it offers a spiritual calm devoted peaceful atmosphere. It is well-suited for a low budget and holds a popularity score of 3.02 out of 5."
Shore Temple,Tamil Nadu,South,11.1271,78.6569,spiritual calm devoted peaceful,spiritual calm devoted peaceful,Temple in Tropical climate,Year-round,"Praying, Meditation, Sightseeing","Vivekananda Rock Memorial, DakshinaChitra, Meenakshi Temple","Shore Temple is a renowned temple located in tamil nadu (South). Experiencing a tropical climate, it offers a spiritual calm devoted peaceful atmosphere. It is well-suited for a low budget and holds a popularity score of 2.796 out of 5."
Yercaud Lake,Tamil Nadu,South,11.1271,78.6569,interesting scenic engaging,interesting scenic engaging,Lake in Tropical climate,Year-round,"Sightseeing, Walking, Photography","Coonoor Tea Gardens, Shore Temple, DakshinaChitra","Yercaud Lake is a renowned lake located in tamil nadu (South). Experiencing a tropical climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.5276 out of 5."
Nellaiappar Temple,Tamil Nadu,South,8.72742,77.6838,spiritual calm devoted peaceful,spiritual calm devoted peaceful,Temple in Tropical climate,Year-round,"Praying, Meditation, Sightseeing","DakshinaChitra, Brihadeeswara Temple, Santhome Cathedral","Nellaiappar Temple is a renowned temple located in tamil nadu (South). Experiencing a tropical climate, it offers a spiritual calm devoted peaceful atmosphere. It is well-suited for a low budget and holds a popularity score of 2.824 out of 5."
Nataraja Temple,Tamil Nadu,South,11.39933,79.69144,spiritual calm devoted peaceful,spiritual calm devoted peaceful,Temple in Tropical climate,Year-round,"Praying, Meditation, Sightseeing","Santhome Cathedral, Coonoor Tea Gardens, Elliot's Beach","Nataraja Temple is a renowned temple located in tamil nadu (South). Experiencing a tropical climate, it offers a spiritual calm devoted peaceful atmosphere. It is well-suited for a low budget and holds a popularity score of 2.932 out of 5."
Kanaka Durga Temple,Andhra Pradesh,South,16.50745,80.6466,spiritual calm devoted peaceful,spiritual calm devoted peaceful,Temple in Tropical climate,Year-round,"Praying, Meditation, Sightseeing","Traditional Bazaars, Historical Monuments, Street Food Alleys","Kanaka Durga Temple is a renowned temple located in andhra pradesh (South). Experiencing a tropical climate, it offers a spiritual calm devoted peaceful atmosphere. It is well-suited for a low budget and holds a popularity score of 2.996 out of 5."
Rishikonda Beach,Andhra Pradesh,South,17.68009,83.20161,relaxing sunny tropical calm,relaxing sunny calm,Beach in Tropical climate,Year-round,"Sightseeing, Walking, Photography","Traditional Bazaars, Spiritual Centers, City Central Park","Rishikonda Beach is a renowned beach located in andhra pradesh (South). Experiencing a tropical climate, it offers a relaxing sunny tropical calm atmosphere. It is well-suited for a low budget and holds a popularity score of 2.856 out of 5."
Mallikarjuna Swamy Temple,Andhra Pradesh,South,15.9129,79.74,spiritual calm devoted peaceful,spiritual calm devoted peaceful,Temple in Tropical climate,Year-round,"Praying, Meditation, Sightseeing","Historical Monuments, Handicraft Markets, Botanical Gardens","Mallikarjuna Swamy Temple is a renowned temple located in andhra pradesh (South). Experiencing a tropical climate, it offers a spiritual calm devoted peaceful atmosphere. It is well-suited for a low budget and holds a popularity score of 3.016 out of 5."
Papikondalu,Andhra Pradesh,South,17.00517,81.77784,interesting scenic engaging,interesting scenic engaging,Hill in Tropical climate,Year-round,"Sightseeing, Walking, Photography","Regional Art Gallery, Spiritual Centers, Handicraft Markets","Papikondalu is a renowned hill located in andhra pradesh (South). Experiencing a tropical climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.5927999999999995 out of 5."
Lepakshi,Andhra Pradesh,South,14.55,77.41667,interesting scenic engaging,interesting scenic engaging,Site in Tropical climate,Year-round,"Sightseeing, Walking, Photography","Traditional Bazaars, Historical Monuments, Regional Art Gallery","Lepakshi is a renowned site located in andhra pradesh (South). Experiencing a tropical climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.79 out of 5."
Belum Caves,Andhra Pradesh,South,15.58333,78.33333,interesting scenic engaging,interesting scenic engaging,Cave in Tropical climate,Year-round,"Sightseeing, Walking, Photography","Historical Monuments, Street Food Alleys, City Central Park","Belum Caves is a renowned cave located in andhra pradesh (South). Experiencing a tropical climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.684 out of 5."
Amaravathi Temple,Andhra Pradesh,South,20.93333,77.75,spiritual calm devoted peaceful,spiritual calm devoted peaceful,Temple in Tropical climate,Year-round,"Praying, Meditation, Sightseeing","Regional Art Gallery, Local Heritage Museum, City Central Park","Amaravathi Temple is a renowned temple located in andhra pradesh (South). Experiencing a tropical climate, it offers a spiritual calm devoted peaceful atmosphere. It is well-suited for a low budget and holds a popularity score of 2.8364 out of 5."
Uppalapadu Bird Sanctuary,Andhra Pradesh,South,16.29974,80.45729,interesting scenic engaging,interesting scenic engaging,Bird Sanctuary in Tropical climate,Year-round,"Sightseeing, Walking, Photography","Regional Art Gallery, Local Heritage Museum, Spiritual Centers","Uppalapadu Bird Sanctuary is a renowned bird sanctuary located in andhra pradesh (South). Experiencing a tropical climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.92 out of 5."
Gandikota Fort,Andhra Pradesh,South,15.9129,79.74,historic majestic grand,historic majestic grand,Fort in Tropical climate,Year-round,"Heritage walk, Photography, Exploring","Spiritual Centers, Regional Art Gallery, City Central Park","Gandikota Fort is a renowned fort located in andhra pradesh (South). Experiencing a tropical climate, it offers a historic majestic grand atmosphere. It is well-suited for a low budget and holds a popularity score of 2.7059999999999995 out of 5."
Prasanthi Nilayam,Andhra Pradesh,South,14.1652,77.8117,interesting scenic engaging,interesting scenic engaging,Spiritual Center in Tropical climate,Year-round,"Sightseeing, Walking, Photography","Botanical Gardens, Traditional Bazaars, Local Heritage Museum","Prasanthi Nilayam is a renowned spiritual center located in andhra pradesh (South). Experiencing a tropical climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.868 out of 5."
Simhachalam Temple,Andhra Pradesh,South,18.11692,83.41148,spiritual calm devoted peaceful,spiritual calm devoted peaceful,Temple in Tropical climate,Year-round,"Praying, Meditation, Sightseeing","Handicraft Markets, Regional Art Gallery, Botanical Gardens","Simhachalam Temple is a renowned temple located in andhra pradesh (South). Experiencing a tropical climate, it offers a spiritual calm devoted peaceful atmosphere. It is well-suited for a low budget and holds a popularity score of 3.056 out of 5."
Kailasagiri,Andhra Pradesh,South,17.68009,83.20161,interesting scenic engaging,interesting scenic engaging,Hill in Tropical climate,Year-round,"Sightseeing, Walking, Photography","Botanical Gardens, Handicraft Markets, Street Food Alleys","Kailasagiri is a renowned hill located in andhra pradesh (South). Experiencing a tropical climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.7076 out of 5."
Submarine Museum,Andhra Pradesh,South,17.68009,83.20161,educational historic quiet,educational historic quiet,Museum in Tropical climate,Year-round,"Sightseeing, Walking, Photography","City Central Park, Local Heritage Museum, Regional Art Gallery","Submarine Museum is a renowned museum located in andhra pradesh (South). Experiencing a tropical climate, it offers a educational historic quiet atmosphere. It is well-suited for a low budget and holds a popularity score of 2.956 out of 5."
Borra Caves,Andhra Pradesh,South,17.68009,83.20161,interesting scenic engaging,interesting scenic engaging,Cave in Tropical climate,Year-round,"Sightseeing, Walking, Photography","Botanical Gardens, Traditional Bazaars, Spiritual Centers","Borra Caves is a renowned cave located in andhra pradesh (South). Experiencing a tropical climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.824 out of 5."
War Memorial,Andhra Pradesh,South,17.68009,83.20161,reflective patriotic historic,reflective patriotic historic,War Memorial in Tropical climate,Year-round,"Sightseeing, Photography, Walking","Old City Quarters, Botanical Gardens, Traditional Bazaars","War Memorial is a renowned war memorial located in andhra pradesh (South). Experiencing a tropical climate, it offers a reflective patriotic historic atmosphere. It is well-suited for a low budget and holds a popularity score of 2.7836 out of 5."
Indira Gandhi Zoological Park,Andhra Pradesh,South,17.68009,83.20161,wildlife nature family-friendly,wildlife nature family-friendly,Zoo in Tropical climate,Year-round,"Wildlife viewing, Walking, Photography","Handicraft Markets, Local Heritage Museum, City Central Park","Indira Gandhi Zoological Park is a renowned zoo located in andhra pradesh (South). Experiencing a tropical climate, it offers a wildlife nature family-friendly atmosphere. It is well-suited for a low budget and holds a popularity score of 2.56 out of 5."
Matsyadarshini Aquarium,Andhra Pradesh,South,17.68009,83.20161,interesting scenic engaging,interesting scenic engaging,Aquarium in Tropical climate,Year-round,"Sightseeing, Walking, Photography","City Central Park, Regional Art Gallery, Traditional Bazaars","Matsyadarshini Aquarium is a renowned aquarium located in andhra pradesh (South). Experiencing a tropical climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.292 out of 5."
Visakha Museum,Andhra Pradesh,South,17.68009,83.20161,educational historic quiet,educational historic quiet,Museum in Tropical climate,Year-round,"Sightseeing, Walking, Photography","Historical Monuments, Traditional Bazaars, Old City Quarters","Visakha Museum is a renowned museum located in andhra pradesh (South). Experiencing a tropical climate, it offers a educational historic quiet atmosphere. It is well-suited for a low budget and holds a popularity score of 2.6059999999999994 out of 5."
Nathula Pass,Sikkim,Northeast,27.32574,88.61216,interesting scenic engaging,interesting scenic engaging,Hill in Moderate climate,Year-round,"Sightseeing, Walking, Photography","Handicraft Markets, Historical Monuments, Old City Quarters","Nathula Pass is a renowned hill located in sikkim (Northeast). Experiencing a moderate climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.64 out of 5."
Pemayangtse Monastery,Sikkim,Northeast,27.533,88.5122,interesting scenic engaging,interesting scenic engaging,Monastery in Moderate climate,Year-round,"Sightseeing, Walking, Photography","Botanical Gardens, Handicraft Markets, Regional Art Gallery","Pemayangtse Monastery is a renowned monastery located in sikkim (Northeast). Experiencing a moderate climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.766 out of 5."
Char Dham,Sikkim,Northeast,27.16494,88.3638,interesting scenic engaging,interesting scenic engaging,Religious Complex in Moderate climate,Year-round,"Sightseeing, Walking, Photography","Handicraft Markets, Old City Quarters, Regional Art Gallery","Char Dham is a renowned religious complex located in sikkim (Northeast). Experiencing a moderate climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.868 out of 5."
Rumtek Monastery,Sikkim,Northeast,27.32574,88.61216,interesting scenic engaging,interesting scenic engaging,Monastery in Moderate climate,Year-round,"Sightseeing, Walking, Photography","Handicraft Markets, Local Heritage Museum, Traditional Bazaars","Rumtek Monastery is a renowned monastery located in sikkim (Northeast). Experiencing a moderate climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.774 out of 5."
Buddha Park,Sikkim,Northeast,27.533,88.5122,interesting scenic engaging,interesting scenic engaging,Park in Moderate climate,Year-round,"Sightseeing, Walking, Photography","Historical Monuments, Handicraft Markets, Regional Art Gallery","Buddha Park is a renowned park located in sikkim (Northeast). Experiencing a moderate climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.92 out of 5."
Baba Harbhajan Singh Temple,Sikkim,Northeast,27.32574,88.61216,spiritual calm devoted peaceful,spiritual calm devoted peaceful,Temple in Moderate climate,Year-round,"Praying, Meditation, Sightseeing","Traditional Bazaars, City Central Park, Historical Monuments","Baba Harbhajan Singh Temple is a renowned temple located in sikkim (Northeast). Experiencing a moderate climate, it offers a spiritual calm devoted peaceful atmosphere. It is well-suited for a low budget and holds a popularity score of 2.85 out of 5."
Tsomgo Lake,Sikkim,Northeast,27.32574,88.61216,interesting scenic engaging,interesting scenic engaging,Lake in Moderate climate,Year-round,"Sightseeing, Walking, Photography","City Central Park, Spiritual Centers, Traditional Bazaars","Tsomgo Lake is a renowned lake located in sikkim (Northeast). Experiencing a moderate climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.76 out of 5."
Kamakhya Temple,Assam,Northeast,26.1844,91.7458,spiritual calm devoted peaceful,spiritual calm devoted peaceful,Temple in Moderate climate,Year-round,"Praying, Meditation, Sightseeing","City Central Park, Local Heritage Museum, Old City Quarters","Kamakhya Temple is a renowned temple located in assam (Northeast). Experiencing a moderate climate, it offers a spiritual calm devoted peaceful atmosphere. It is well-suited for a low budget and holds a popularity score of 2.844 out of 5."
Kaziranga National Park,Assam,Northeast,26.2006,92.9376,wildlife adventurous green,wildlife adventurous green,National Park in Moderate climate,Year-round,"Sightseeing, Walking, Photography","Botanical Gardens, Handicraft Markets, Regional Art Gallery","Kaziranga National Park is a renowned national park located in assam (Northeast). Experiencing a moderate climate, it offers a wildlife adventurous green atmosphere. It is well-suited for a medium budget and holds a popularity score of 2.7272 out of 5."
Umananda Island,Assam,Northeast,26.1844,91.7458,interesting scenic engaging,interesting scenic engaging,Island in Moderate climate,Year-round,"Sightseeing, Walking, Photography","Local Heritage Museum, Historical Monuments, Regional Art Gallery","Umananda Island is a renowned island located in assam (Northeast). Experiencing a moderate climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.4639999999999995 out of 5."
Sivasagar Sivadol,Assam,Northeast,26.2006,92.9376,spiritual calm devoted peaceful,spiritual calm devoted peaceful,Temple in Moderate climate,Year-round,"Praying, Meditation, Sightseeing","Regional Art Gallery, Botanical Gardens, Traditional Bazaars","Sivasagar Sivadol is a renowned temple located in assam (Northeast). Experiencing a moderate climate, it offers a spiritual calm devoted peaceful atmosphere. It is well-suited for a low budget and holds a popularity score of 2.846 out of 5."
Majuli Island,Assam,Northeast,26.2006,92.9376,interesting scenic engaging,interesting scenic engaging,River Island in Moderate climate,Year-round,"Sightseeing, Walking, Photography","Historical Monuments, Regional Art Gallery, Handicraft Markets","Majuli Island is a renowned river island located in assam (Northeast). Experiencing a moderate climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.824 out of 5."
Manas National Park,Assam,Northeast,24.47764,75.14095,wildlife adventurous green,wildlife adventurous green,National Park in Moderate climate,Year-round,"Sightseeing, Walking, Photography","Old City Quarters, Traditional Bazaars, Historical Monuments","Manas National Park is a renowned national park located in assam (Northeast). Experiencing a moderate climate, it offers a wildlife adventurous green atmosphere. It is well-suited for a medium budget and holds a popularity score of 2.836 out of 5."
Hayagriva Madhava Temple,Assam,Northeast,26.2452,91.52525,spiritual calm devoted peaceful,spiritual calm devoted peaceful,Temple in Moderate climate,Year-round,"Praying, Meditation, Sightseeing","City Central Park, Regional Art Gallery, Handicraft Markets","Hayagriva Madhava Temple is a renowned temple located in assam (Northeast). Experiencing a moderate climate, it offers a spiritual calm devoted peaceful atmosphere. It is well-suited for a low budget and holds a popularity score of 3.06 out of 5."
Pobitora Wildlife Sanctuary,Assam,Northeast,26.1844,91.7458,interesting scenic engaging,interesting scenic engaging,Wildlife Sanctuary in Moderate climate,Year-round,"Sightseeing, Walking, Photography","Traditional Bazaars, Local Heritage Museum, City Central Park","Pobitora Wildlife Sanctuary is a renowned wildlife sanctuary located in assam (Northeast). Experiencing a moderate climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a medium budget and holds a popularity score of 2.6548000000000003 out of 5."
Tawang Monastery,Arunachal Pradesh,Northeast,27.57417,91.92437,interesting scenic engaging,interesting scenic engaging,Monastery in Moderate climate,Year-round,"Sightseeing, Walking, Photography","Regional Art Gallery, Handicraft Markets, Botanical Gardens","Tawang Monastery is a renowned monastery located in arunachal pradesh (Northeast). Experiencing a moderate climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.8328 out of 5."
Ujjayanta Palace,Tripura,Northeast,23.83605,91.27939,interesting scenic engaging,interesting scenic engaging,Palace in Moderate climate,Year-round,"Sightseeing, Walking, Photography","Traditional Bazaars, Botanical Gardens, Regional Art Gallery","Ujjayanta Palace is a renowned palace located in tripura (Northeast). Experiencing a moderate climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.7139999999999995 out of 5."
Dumboor Lake,Tripura,Northeast,23.9408,91.9882,interesting scenic engaging,interesting scenic engaging,Lake in Moderate climate,Year-round,"Sightseeing, Walking, Photography","Old City Quarters, Regional Art Gallery, Botanical Gardens","Dumboor Lake is a renowned lake located in tripura (Northeast). Experiencing a moderate climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.704 out of 5."
Unakoti Rock Carvings,Tripura,Northeast,24.32781,92.00377,interesting scenic engaging,interesting scenic engaging,Rock Carvings in Moderate climate,Year-round,"Sightseeing, Walking, Photography","Botanical Gardens, Traditional Bazaars, Local Heritage Museum","Unakoti Rock Carvings is a renowned rock carvings located in tripura (Northeast). Experiencing a moderate climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.7099999999999995 out of 5."
Chitrakote Falls,Chhattisgarh,Central,19.26794,81.73828,interesting scenic engaging,interesting scenic engaging,Waterfall in Warm climate,Year-round,"Sightseeing, Walking, Photography","Old City Quarters, Street Food Alleys, Regional Art Gallery","Chitrakote Falls is a renowned waterfall located in chhattisgarh (Central). Experiencing a warm climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.836 out of 5."
Dzükou Valley,Nagaland,Northeast,26.1584,94.5624,interesting scenic engaging,interesting scenic engaging,Valley in Moderate climate,Year-round,"Sightseeing, Walking, Photography","Local Heritage Museum, Traditional Bazaars, Historical Monuments","Dzükou Valley is a renowned valley located in nagaland (Northeast). Experiencing a moderate climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.824 out of 5."
Promenade Beach,Puducherry,South,11.9416,79.8083,relaxing sunny tropical calm,relaxing sunny calm,Beach in Tropical climate,Year-round,"Sightseeing, Walking, Photography","Handicraft Markets, Local Heritage Museum, Regional Art Gallery","Promenade Beach is a renowned beach located in puducherry (South). Experiencing a tropical climate, it offers a relaxing sunny tropical calm atmosphere. It is well-suited for a low budget and holds a popularity score of 2.736 out of 5."
Auroville,Puducherry,South,12.00549,79.80885,interesting scenic engaging,interesting scenic engaging,Township in Tropical climate,Year-round,"Sightseeing, Walking, Photography","Handicraft Markets, Local Heritage Museum, City Central Park","Auroville is a renowned township located in puducherry (South). Experiencing a tropical climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.4739999999999998 out of 5."
Paradise Beach,Puducherry,South,11.9416,79.8083,relaxing sunny tropical calm,relaxing sunny calm,Beach in Tropical climate,Year-round,"Sightseeing, Walking, Photography","Botanical Gardens, Spiritual Centers, Handicraft Markets","Paradise Beach is a renowned beach located in puducherry (South). Experiencing a tropical climate, it offers a relaxing sunny tropical calm atmosphere. It is well-suited for a medium budget and holds a popularity score of 2.7059999999999995 out of 5."
Cellular Jail,Andaman And Nicobar Islands,South,11.66613,92.74635,interesting scenic engaging,interesting scenic engaging,Landmark in Tropical climate,Year-round,"Sightseeing, Walking, Photography","Regional Art Gallery, City Central Park, Old City Quarters","Cellular Jail is a renowned landmark located in andaman and nicobar islands (South). Experiencing a tropical climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.868 out of 5."
Radhanagar Beach,Andaman And Nicobar Islands,South,11.7401,92.6586,relaxing sunny tropical calm,relaxing sunny calm,Beach in Tropical climate,Year-round,"Sightseeing, Walking, Photography","Botanical Gardens, Traditional Bazaars, Handicraft Markets","Radhanagar Beach is a renowned beach located in andaman and nicobar islands (South). Experiencing a tropical climate, it offers a relaxing sunny tropical calm atmosphere. It is well-suited for a low budget and holds a popularity score of 2.916 out of 5."
Bharatpur Beach,Andaman And Nicobar Islands,South,11.7401,92.6586,relaxing sunny tropical calm,relaxing sunny calm,Beach in Tropical climate,Year-round,"Sightseeing, Walking, Photography","Street Food Alleys, Old City Quarters, Handicraft Markets","Bharatpur Beach is a renowned beach located in andaman and nicobar islands (South). Experiencing a tropical climate, it offers a relaxing sunny tropical calm atmosphere. It is well-suited for a low budget and holds a popularity score of 2.716 out of 5."
Limestone Caves,Andaman And Nicobar Islands,South,11.7401,92.6586,interesting scenic engaging,interesting scenic engaging,Natural Feature in Tropical climate,Year-round,"Sightseeing, Walking, Photography","Street Food Alleys, Traditional Bazaars, City Central Park","Limestone Caves is a renowned natural feature located in andaman and nicobar islands (South). Experiencing a tropical climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a medium budget and holds a popularity score of 2.646 out of 5."
Naida Caves,Daman And Diu,West,20.3974,72.8328,interesting scenic engaging,interesting scenic engaging,Cave in Warm climate,Year-round,"Sightseeing, Walking, Photography","Street Food Alleys, Old City Quarters, Botanical Gardens","Naida Caves is a renowned cave located in daman and diu (West). Experiencing a warm climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.9399999999999995 out of 5."
Diu Fort,Daman And Diu,West,20.3974,72.8328,historic majestic grand,historic majestic grand,Fort in Warm climate,Year-round,"Heritage walk, Photography, Exploring","Regional Art Gallery, Old City Quarters, Local Heritage Museum","Diu Fort is a renowned fort located in daman and diu (West). Experiencing a warm climate, it offers a historic majestic grand atmosphere. It is well-suited for a low budget and holds a popularity score of 3.24 out of 5."
Baba Baidyanath Temple,Jharkhand,East,23.6102,85.2799,spiritual calm devoted peaceful,spiritual calm devoted peaceful,Temple in Humid climate,Year-round,"Praying, Meditation, Sightseeing","Botanical Gardens, Traditional Bazaars, Street Food Alleys","Baba Baidyanath Temple is a renowned temple located in jharkhand (East). Experiencing a humid climate, it offers a spiritual calm devoted peaceful atmosphere. It is well-suited for a low budget and holds a popularity score of 3.54 out of 5."
